,id,condition,useful,mins,other,reuse,clarity,benefit,interest,learn,all,id,d1,d2,d3,d4,d5,d6,s1,s2,s3,s4,s5,s6,d,s,num_stop,total_words
10,5a381de00006450001bf2691,MC,3.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,Fix the truck Working truck I fixed the truck and now it runs great and can go on long trips.,5a381de00006450001bf2691,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,3.0,3.0,9,21
11,5a7a793f19042000015595cf,I,5.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0,Get a good dinner it would feel good It would make me happy,5a7a793f19042000015595cf,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4,13
12,5a8e6117b093f80001a83119,MC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Clean the apt a clean apt ,5a8e6117b093f80001a83119,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2,6
13,5ae25791af72e0000127b8f7,I,4.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,have enough money to pay some bills less worried  being able to pay bills to have more freedom to think about something else ,5ae25791af72e0000127b8f7,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,10,23
14,5aea90a95c78ab000105cd36,I,4.0,1.0,5.0,5.0,5.0,5.0,7.0,4.0,"Practice some self care Happy, relaxed, prepared to face the world  I would feel lighter, less mentally weighed down",5aea90a95c78ab000105cd36,2.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,5,22
15,5aeb42cf53336d00016f0617,MC,4.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,Ready my garden for fall planting I will be prepared The feeling of being prepared and on schedule gives me a sense of satisfaction and inner peace.,5aeb42cf53336d00016f0617,2.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,14,28
16,5b9866e4813d530001c33ce7,I,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,"Go on vacation  Really good, since I really need to get away from this covid crap Being with my family in PR and having the best time",5b9866e4813d530001c33ce7,2.0,5.0,2.0,2.0,5.0,2.0,1.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,12,28
17,5c0735ac0ea1410001a9d1c7,MC,5.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,"Make progress with parents' estate Forward progress and answers Answers about the mortgage, progress on closing my parents' accounts and debts",5c0735ac0ea1410001a9d1c7,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,7,24
18,5c11ec9e4e838900017ce044,MC,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,Go running First step into getting back into shape Dreading betting started again...but after it is accomplished feeling invigorated and proud that I did it,5c11ec9e4e838900017ce044,2.0,2.0,5.0,2.0,2.0,5.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,12,27
19,5c288c5889f035000174c07d,I,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,I wish to be healthy again Start a diet plan Sitting down writing out a diet plan and figuring out what type of workout I need to incorporate with my new eating lift style change,5c288c5889f035000174c07d,3.0,2.0,5.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,16,35
20,5c35707abc644400013344c3,I,4.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,"I would like get my plan figured out It would be a such a relief If this plan is all figured out, I will feel as if a weight have been lifted off of my shoulders. I will not have to worry about this every day again",5c35707abc644400013344c3,3.0,3.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,31,49
21,5c3e60aa38ac8200017b99a7,MC,5.0,2.0,7.0,6.0,6.0,6.0,7.0,7.0,i want to be a president i will be happy it will can be excelent for me,5c3e60aa38ac8200017b99a7,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,2.0,13,17
22,5c3e82e91580e9000122d204,MC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,get a lot done I will get a lot done. I want to finish enough work to feel accomplished and ahead of yesterday.,5c3e82e91580e9000122d204,2.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,5.0,1.0,3.0,5.0,4.0,3.0,9,25
23,5c55f4acb7cf140001d3689b,MC,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,I wish to make a chocolate cake for my partner. I could watch cake baking videos yes,5c55f4acb7cf140001d3689b,3.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,6,18
24,5c5b788ccfc9bc0001c59086,MC,2.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,"write an essay or blog I would feel accomplished, Closer to my blog goal I want to be able to start a blog and use it to make an income",5c5b788ccfc9bc0001c59086,2.0,3.0,5.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,14,31
25,5c6b4a3da5064f0001e8b0b1,MC,7.0,1.0,5.0,6.0,6.0,7.0,7.0,7.0,"Wash my hair beautiful and complete Washing and styling my hair would make me feel beautiful because I always like how my hair looks afterwards. I'd feel complete because it can take a few hours, and I'd be relieved and happy once I finished it.",5c6b4a3da5064f0001e8b0b1,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,22,50
26,5c6d55f1e82c7e00011e21d3,I,7.0,1.0,6.0,6.0,5.0,6.0,6.0,7.0,"Relax in a fuller way Cheery, relaxed, and expansive Energy, optimism, joy
Calmness and light",5c6d55f1e82c7e00011e21d3,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4,19
27,5ca76940b73600000157b4f1,MC,3.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,make sirloin steaks on grill perfect they are juicy and tender I would take them off the grill and when I cut into them they are the perfect medium rare and chewing is easy. ,5ca76940b73600000157b4f1,2.0,5.0,3.0,2.0,5.0,3.0,5.0,2.0,5.0,5.0,2.0,5.0,3.0,4.0,18,35
28,5ceb685da7afdc00166f8391,I,5.0,1.0,6.0,6.0,5.0,5.0,6.0,6.0,Develop plan for family fun! Plan made - feeling excited! I would feel excited to finally have a plan for adventure with my family. We always talk about going and doing more and yet aren't spontaneous enough to make it happen. Having plans would help us fulfill some of our summer goals. ,5ceb685da7afdc00166f8391,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,2.0,4.0,21,58
29,5ceed35abc1ea40018403f04,I,4.0,2.0,4.0,4.0,6.0,5.0,4.0,6.0,Eat food for myself happy I need to start eating more food. It would make me healthier.,5ceed35abc1ea40018403f04,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,5.0,2.0,3.0,7,19
30,5cfc7489e289a80016b6e29f,I,4.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,"Eat less than I need Loss of weight I hate horribly yesterday, so eating a bit less than I actually need would go a long way to getting me back on track in my weight loss journey.",5cfc7489e289a80016b6e29f,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,14,39
31,5d1cf86b74a06a0019e3079c,I,5.0,1.0,5.0,5.0,4.0,4.0,7.0,6.0,I would like to find time to relax. I would feel accomplished. I am proud and excited.,5d1cf86b74a06a0019e3079c,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,7,20
32,5d20da1ea70c970016f2a91f,I,5.0,1.0,4.0,4.0,5.0,5.0,6.0,4.0,I would like to make progress on my story.  It would feel pleased with myself.  It would make me feel like I'm a step closer to success. ,5d20da1ea70c970016f2a91f,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,12,31
33,5d264dc7e4a0cb001a3efea6,I,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,I had more energy at the end of my shift Accomplished It may diminish the quality of my work.,5d264dc7e4a0cb001a3efea6,5.0,1.0,3.0,5.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,11,20
34,5d378bf4b846880018b41c73,MC,7.0,2.0,6.0,7.0,5.0,6.0,7.0,7.0,Clean the cat cages The cats would be happier I would feel like a better pet owner,5d378bf4b846880018b41c73,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,5,17
35,5d48652e983b1e0019576359,I,5.0,1.0,4.0,5.0,6.0,5.0,6.0,5.0,"Write that episode Accomplished and determined Once I have those episodes fully written, my dream will feel entirely real and obtainable. Moving on to the next steps will make me feel accomplished and ready to accept my new future.",5d48652e983b1e0019576359,2.0,1.0,5.0,2.0,1.0,5.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,17,42
36,5d4ee690962ad00018457362,I,7.0,1.0,5.0,6.0,6.0,6.0,7.0,6.0,most important wish is travelling love it most its about cloud,5d4ee690962ad00018457362,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,6,11
37,5d5829211139bc001666e4e9,I,7.0,2.0,7.0,7.0,7.0,7.0,7.0,5.0,"To get a new car It would make me feel great Great, wonderful, optimism ",5d5829211139bc001666e4e9,2.0,3.0,1.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,2.0,3.0,4,16
38,5d607e85803685001703e06c,MC,4.0,3.0,5.0,2.0,4.0,5.0,4.0,3.0,Pack this room up  Stop being lazy I’m lazy ,5d607e85803685001703e06c,2.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,5,11
39,5d790bc6965e200016e975e1,I,4.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,"start studying for certification productive, successful,  If I take initiative and start studying it would make me feel productive and ready to take the exam at my desire date",5d790bc6965e200016e975e1,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,11,31
40,5d7ba25e358dec00196d4977,I,4.0,1.0,4.0,5.0,5.0,5.0,5.0,2.0,Do something important Do it well Make a couple hundred dollars,5d7ba25e358dec00196d4977,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,11
41,5d94d7d77587a900150ac8d0,I,5.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,Eat regularly  Best outcome would be to have more energy  If I were to eat regularly like I'm supposed to then I would easily feel but better about myself and my body. ,5d94d7d77587a900150ac8d0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,17,34
42,5da8c0791a0d81001380d3cc,MC,7.0,1.0,6.0,6.0,6.0,6.0,7.0,6.0,"Search jobs, train_on hard amazing content satisfied I would be happy and goofy",5da8c0791a0d81001380d3cc,2.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,3,14
43,5dab7b8145f7b300160dd91e,MC,4.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,"Hire someone to install railings on the front porch. I would feel happy that my porch was made safer. The house has more ""curb appeal"" with an attractive railing. My older friends will be able to safer and more often.",5dab7b8145f7b300160dd91e,2.0,3.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,18,46
44,5db1aed4a2cae4001738f561,I,5.0,1.0,4.0,4.0,6.0,5.0,5.0,4.0,eat ice cream with my mom satisfied and full after dairy queen I will go over to my mom's house and we will get Dairy Queen together.  I will get a large oreo blizzard and a box of dilly bars to take home.  I will eat until I feel sick but then I will eat some dilly bars.,5db1aed4a2cae4001738f561,2.0,1.0,5.0,2.0,1.0,5.0,4.0,2.0,5.0,4.0,2.0,5.0,3.0,4.0,28,62
45,5dbf8f6351b13c414a1c490c,I,7.0,4.0,5.0,5.0,6.0,7.0,7.0,7.0,Paint my bedroom  I would feel an accomplishment  I would feel an accomplishment if I painted my bedroom. I have all the materials to do it but have not been motivated to do it. It would be a big accomplishment. ,5dbf8f6351b13c414a1c490c,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,25,43
46,5dc37cc0380a67285572a9b3,MC,4.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,Live a healthier life  I would feel better about myself  It would be a big step for me to feel more comfortable with myself and happier ,5dc37cc0380a67285572a9b3,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,14,26
47,5dc4175e3317732e53467e8b,I,3.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,that all covid sufferers are cured good happy,5dc4175e3317732e53467e8b,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3,8
48,5dc5bd296a8a334443fbf216,MC,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,to complete what i start my house organized emotionally content,5dc5bd296a8a334443fbf216,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,4,10
49,5dcadddfbdcd7d7a4022d5e4,I,3.0,1.0,3.0,3.0,3.0,5.0,2.0,3.0,  ,5dcadddfbdcd7d7a4022d5e4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
50,5dceb29dd30a0e113ede61a6,MC,7.0,1.0,5.0,7.0,7.0,7.0,7.0,7.0,Clean out the food storage drawer Accomplished and organized My kitchen would be much more organized and less cluttered,5dceb29dd30a0e113ede61a6,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,7,19
51,5dd40277e08a363e4e006384,MC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Provide dinner for my kids My kids eating I would feel like a good mother if I could fully provide for my kids. ,5dd40277e08a363e4e006384,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,9,24
52,5dd46ece4524e745b4c46701,MC,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,Eat good foods More energized Not feeling groggy and cloudy in the mornings.,5dd46ece4524e745b4c46701,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,5,14
53,5dd5bc3bd5cef8000b9861d5,MC,6.0,1.0,5.0,5.0,6.0,5.0,5.0,6.0,"A good night's rest to recoup I would sleep for 16 hrs and be re-energized I would sleep to catch up, and revitalize myself fully from deprivation. I would feel like I had a full battery again. ",5dd5bc3bd5cef8000b9861d5,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,17,41
54,5de33dabc22a30362e4450a5,I,6.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,Actually go grocery shopping. A feeling of fullfulment. I would have a feeling of fulfillment.  I haven't been to an actual grocery store since this pandemic began.  ,5de33dabc22a30362e4450a5,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,5.0,2.0,3.0,12,32
55,5ded1ccecaeb603e2d2dfc70,MC,5.0,1.0,4.0,4.0,5.0,5.0,4.0,3.0,"Bake a cake from scratch I would feel proud If I could do this, I would feel very proud of myself",5ded1ccecaeb603e2d2dfc70,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11,22
56,5df0812855aff60d481455ac,I,5.0,1.0,3.0,2.0,5.0,4.0,6.0,3.0,"I would like to record and stream some live music I will stream music and it will be received well by family and friends I enjoy the recognition of posting quality music, which is very new to me and something I am really enjoying these days. I would like to try out some new instrumental styles and with many musical family members who are out of state, they will have an opportunity to hear and see this music. I like seeing the thumbs up and comments. ",5df0812855aff60d481455ac,3.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,45,91
57,5df27b81acd5ce18b4bd225c,I,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,"Social interaction with others. Less lonely. Having to shelter in place as a result of the current pandemic, single/living alone while being a benefit on some level being able to keep others out of my home for safety also has left a void day in and day out of in person interaction with others.  ",5df27b81acd5ce18b4bd225c,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,27,58
58,5df5767076c03b3e5a958413,I,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,go for a long walk having exercised having exercised will make me feel light and better and in a good place,5df5767076c03b3e5a958413,2.0,2.0,5.0,2.0,2.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,10,21
59,5e149736e632e1a92be5738c,I,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,That would be nice Success Profit,5e149736e632e1a92be5738c,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2,6
60,5e149c03864020aa6e1cf04d,I,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,make a loaf of bread happy and full no more hunger,5e149c03864020aa6e1cf04d,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5,11
61,5e1b71aa7e18273a261b64b7,I,5.0,1.0,5.0,5.0,5.0,5.0,6.0,5.0,run 9 miles complete 9 miles without issue I would have an easy time running 4.5 miles out on my trail and turn back around to run back home.,5e1b71aa7e18273a261b64b7,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,8,30
62,5e27616fe837f399dc3fe42f,MC,6.0,1.0,5.0,5.0,6.0,6.0,6.0,6.0,"Avoid consuming sugar I can avoid sugar successfully It is hard to imagine avoiding sugar, because instead, when I try to think about this, my thoughts are filled with the idea of consuming sugar, instead! So even though WOOP is a great goal visualization tool, maybe in some cases it is easiest to achieve a goal by NOT thinking about it? If it is a goal of omission. Then again, I have to consciously think about the goal sometimes in order to stick with it – like, when I am presented with sugar, I have to consciously think about my goals.",5e27616fe837f399dc3fe42f,2.0,5.0,5.0,2.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,54,113
63,5e2cb9b8e97bec2e4cd80874,I,3.0,1.0,2.0,1.0,3.0,1.0,5.0,3.0,"win something on the lottery I'd win enough to cover a special purchase I would find that while I did not win the ""wig"" lotto, I have won enough (after taxes) to pay for something I've been wanting for a long time.",5e2cb9b8e97bec2e4cd80874,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,22,50
64,5e39678321d60316406c3723,I,2.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,Being able to complete a task I would feel accomplished I honestly don't know but it'd be fulfilling.,5e39678321d60316406c3723,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9,21
65,5e3c368dc004f70177a1dfcc,I,2.0,1.0,1.0,2.0,1.0,3.0,6.0,2.0,"Get extra hours at work so I can be able to pay for things my family needs I would be able to take care of my family and what they need or want If I was able to fulfill this goal, I would have extra hours to able to bring more money home to my family and take care of the little things that we need and want. We could be able to go on vacation and do whatever extra stuff that we want. ",5e3c368dc004f70177a1dfcc,2.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,43,87
66,5e51cbd4ad88cd2047eaf29d,I,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Finish a project at work Satisfied I would feel proud of myself for finishing a project I’ve had on my to do list for a while,5e51cbd4ad88cd2047eaf29d,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,17,28
67,5e57535e9826c510e7e3bf42,I,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,"being happy and successful  Great, happy and love When I get my dreams, having a great job, good life, support my parents, giving good education to my son, helping him to reach his dreams, and having a nice house",5e57535e9826c510e7e3bf42,2.0,1.0,5.0,2.0,1.0,5.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,17,46
68,5e5d1bacac3134016c38c61f,I,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,"Getting laundry washed, cleaning Over joyed, accomplishment Once the laundry and cleaning is done I will feel more relaxed, comfortable, happy, and know that I have accomplished something important. ",5e5d1bacac3134016c38c61f,2.0,1.0,5.0,2.0,1.0,5.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,12,35
69,5e5fe64a8278d103d35cac54,MC,6.0,2.0,7.0,7.0,6.0,6.0,7.0,7.0,"Finish the next video completely Finishing it, being happy with it, not having to tinker with it the next day I think it's possible but I'm not sure...I'm a perfectionist. I guess I need to remind myself that sometimes you have to cut corners.",5e5fe64a8278d103d35cac54,2.0,2.0,5.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,26,53
70,5e6011c399b03c35f69a53d8,MC,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,having a clean apartment I would feel satisfied I would love to be completely organized,5e6011c399b03c35f69a53d8,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,6,15
71,5e63155f0ce65909fda373f1,I,3.0,1.0,3.0,2.0,4.0,5.0,4.0,2.0,Talk to my cousins Have a great chat It would be nice to catch up more and have a great time talking,5e63155f0ce65909fda373f1,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,12,22
72,5e6387b1b7d70b10675e3a26,I,6.0,1.0,6.0,6.0,6.0,6.0,7.0,7.0,Grow my stock portfolio Be closer to retirement Excitement as I would be one step closer to my biggest goal of retiring. I'd celebrate by treating myself to a nice take out dinner and maybe an RC Car. Calling my parents would also be part of the celebration.,5e6387b1b7d70b10675e3a26,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,21,52
73,5e7ba35f8cf7da093a895c3a,I,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,Have less anxiety Feel generally calmer Not sure what to write,5e7ba35f8cf7da093a895c3a,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4,11
74,5e7cb12fec4f3d0275df62c4,MC,6.0,1.0,5.0,4.0,7.0,6.0,7.0,6.0,Do work I've put off Get it done Get all of my assignments done so that I dont stress over them,5e7cb12fec4f3d0275df62c4,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,12,22
75,5e7d2e589a82110e3e143df2,MC,5.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,just be happy just stay good with my friends and girlfriend be as i am now,5e7d2e589a82110e3e143df2,2.0,2.0,5.0,2.0,2.0,5.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,11,16
76,5e827e743fc2bd0f3dcfc34d,MC,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,not having an anxiety attack being stress free  being happy and relaxing,5e827e743fc2bd0f3dcfc34d,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,6,12
